accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
4,1.0,2.0,1,2,1.0,52.3783358628,4.8489213678,2,35,3.427636253405406,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3876467586,4.8792921577,3,1,1.658084660613318,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3551142481,4.9001587555,2,6,2.6757652240985745,1,0,1,0,0
5,1.0,3.0,1,4,1.0,52.3915076695,4.9070975787,7,3,1.4643459706165418,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.373982404,4.8629604538,2,144,2.5408564163260485,1,0,0,1,0
4,2.0,3.0,1,3,1.0,52.355826042,4.881684903,2,61,2.8618535179085014,1,0,1,0,0
3,1.0,1.0,1,2,1.0,52.3561830568,4.902686452,2,7,2.5660629076246964,0,1,1,0,0
2,1.0,1.0,2,1,2.0,52.3663342111,4.8760724047,3,6,2.1335435140948307,1,0,0,1,0
1,1.0,1.0,1,1,2.0,52.3745626915,4.8636407968,3,0,2.4817667628653384,0,1,0,1,0
1,1.0,1.0,1,1,1.0,52.3523753503,4.8531742261,1,8,4.327841205780042,1,0,0,1,0
5,2.0,4.0,2,5,2.0,52.3558310049,5.0012590808,2,0,7.380754357591054,1,0,1,0,0
4,1.5,1.0,2,2,2.0,52.3540589519,4.8667137948,3,28,3.5674682367252695,1,0,1,0,0
2,1.0,2.0,1,2,1.0,52.3659785877,4.8533830886,4,2,3.451819021721607,1,0,1,0,0
4,1.0,2.0,1,4,1.0,52.4044034479,4.9201240369,3,12,3.1337230180611986,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3530416315,4.9033867109,2,15,2.9180005160824334,1,0,1,0,0
5,1.5,4.0,1,1,1.0,52.3562968676,4.9896620827,5,2,6.629831503472994,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.366962023,4.9341422405,3,14,2.718802661072984,1,0,1,0,0
4,1.5,2.0,1,2,1.0,52.367245106,4.8373565476,2,13,4.415556566121073,1,0,1,0,0
2,2.0,1.0,1,1,1.0,52.353329836,4.8397742248,3,3,4.964235386793312,1,0,0,1,0
4,1.5,2.0,1,2,1.0,52.3563878198,4.9020299118,3,5,2.539912644776269,1,0,1,0,0
2,1.5,1.0,3,1,3.0,52.3529324044,4.907024532,1,49,2.9629130868501337,1,0,0,1,0
6,1.0,4.0,1,5,2.0,52.3546100629,4.8754784386,4,8,3.178313054668885,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3765976661,4.8450385184,2,3,3.701010558854112,1,0,1,0,0
16,2.0,10.0,2,16,2.0,52.3686858626,4.918737993,2,54,1.7544042769426975,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3749641616,4.874447524,4,16,1.7586455888292287,1,0,1,0,0
4,1.0,1.0,1,2,1.0,52.3522831023,4.8967902417,2,4,2.9952856046267677,1,0,1,0,0
4,1.0,3.0,1,1,1.0,52.351185398,4.8538674423,3,1,4.3866738422490865,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3644036867,4.9273011613,3,14,2.5049777470187875,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3477132842,4.8466425949000005,2,0,5.006593534116242,1,0,1,0,0
4,1.0,3.0,1,1,1.0,52.3656458078,4.8600478273,2,20,3.0666396131195417,1,0,1,0,0
3,1.0,1.0,1,2,1.0,52.3783392444,4.8944098181,4,24,0.3534594556172641,1,0,1,0,0
6,1.0,3.0,1,1,1.0,52.354788676,4.9947096792,3,1,7.010554148979059,1,0,1,0,0
4,2.0,2.0,1,1,1.0,52.3752511414,4.8579268535,4,1,2.849338352823801,1,0,1,0,0
